"","P_5","P_7","P_8","P_9","P_10","P_18","P_19","P_22","P_23","P_25","P_31","P_37","P_42","P_43","P_47","P_50"
"EPHA1",4.38040844625595,7.0370673585497,7.22741420901762,5.8837956830041,8.5601867703069,6.30387182438336,2.63018201652457,3.05526721014455,2.62088695207267,6.05650631803091,3.91551796434117,7.0793822006053,5.55772153855306,1.83095844995194,5.53525128336583,0.932775562986468
"IL2RG",9.30472282419091,8.34457302827011,8.89998613685047,7.93913944813181,8.68650606236532,8.97313499132368,7.96022430674224,4.90363581874219,8.06763793971113,10.0786678345488,9.17851482120114,8.5200794200319,9.95454820970716,6.52543880613369,7.86282176281822,6.58506559347796
"IFNA5",3.95174083386543,3.35675648760601,3.5986836448931,3.49447465822153,2.69270926656145,2.04281578920683,3.65273043342798,4.90363581874219,2.39752301780909,-9.96578428466209,2.48395676559019,3.50970907130412,4.59142158112792,3.58135629938455,3.41263472764502,0.932775562986468
"IFNA16",3.95174083386543,-9.96578428466209,1.18866578299233,-9.96578428466209,-9.96578428466209,-9.96578428466209,1.58277692528383,-9.96578428466209,-9.96578428466209,-9.96578428466209,-1.64651485928637,-9.96578428466209,2.61391016125776,2.22573562545689,2.14891625800042,-9.96578428466209
"IFNK",4.52157688223551,2.76290898568733,3.14347683952393,0.403167170646169,1.59476602741068,-3.00397965875832,2.90089098401519,4.50696486411152,-9.96578428466209,2.94728764470166,-9.96578428466209,-9.96578428466209,2.83153281188467,3.10446600319962,-9.96578428466209,-9.96578428466209
"NOTCH1",9.08033998008606,10.0886770407081,9.40487543218517,9.30472282419091,9.8784696386389,8.77371076623187,8.48698858150298,9.08134182493155,8.57622888175073,8.90299240402148,8.45289278531042,10.338887609445,9.40587690539683,10.1487309563297,8.79375610103395,8.6464077120151
"TCF7L2",8.44085843069758,10.398932940416,10.4189476362999,9.78236428089355,9.52704782387465,9.88247387806674,7.17808190221969,8.77671760667337,8.32651736205722,8.71758042580964,9.25464245411049,9.79738120919381,8.46693250517517,9.00519790073669,8.95610099765743,8.50203013012156
"NCAM1",9.2856926117448,6.71938704499177,5.83089958605148,7.13578788143339,7.31497694225743,6.61436430958021,3.7925711193657,8.6945254065361,6.10014207643351,5.6709856963544,4.01234457991168,7.14988684764068,3.81935679095975,8.05157802907376,3.18460074196941,-0.231519843561135
"ESAM",8.21515825386638,9.89949176493904,8.66745968670454,8.00740979402486,8.35761280058288,8.54213883182142,6.11738816723659,5.47086339287375,8.57622888175073,7.12773089354906,8.23321838694456,10.4789905202637,8.04354782272732,9.41689304340933,8.61733467909774,7.62572097498181
"MMP3",5.32549816334268,2.33784441664062,5.13145841568312,5.85124813238768,7.3461693458314,5.58733033671949,2.90089098401519,-9.96578428466209,7.79854088909818,5.6709856963544,1.80014690668732,3.50970907130412,4.91190205694251,3.64733254001835,6.05650631803091,3.75931030931226
"IL18",7.46989305240966,9.78236428089355,8.8428645452826,8.10878845103519,10.5890646521563,8.20311774489553,5.97831867454923,7.46385917085201,6.60931323863304,8.72158990494956,7.03505213448982,8.6143270396266,8.1388958931118,6.05244619419823,8.73261583715694,6.80617832062457
"FREM2",11.2894242976197,5.48722176277911,6.48702117655368,5.51583921681392,7.33510154925422,3.71201049830793,-9.96578428466209,7.36226703522786,4.76908839403617,7.55334749649153,8.88796093716206,3.50970907130412,4.17852431342146,6.84047825619251,3.41263472764502,2.00919290550149
"THRB",7.17002656077179,8.77872215905372,8.80478076798584,6.88384751694798,8.8168074632776,7.77342772827243,3.91978238501216,4.7835987492325,5.67302488423631,6.74664061417158,6.49106566312205,8.41979761621603,5.36033506857633,6.52543880613369,7.86282176281822,5.28243603521002
